#Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)
144	904.260	-4.311	904.093
145	904.290	-3.788	904.120
146	904.320	-2.991	904.151
147	904.350	-2.110	904.180
148	904.380	-1.270	904.209
149	904.410	-0.156	904.240
150	904.440	0.915	904.269
151	904.470	1.638	904.298
152	904.500	2.426	904.329
153	904.530	3.262	904.359
154	904.560	4.408	904.387
155	904.590	5.433	904.423
156	904.620	6.139	904.448
157	904.650	6.705	904.478
158	904.680	7.192	904.511
159	904.710	7.528	904.541
160	904.740	7.821	904.570
161	904.770	8.216	904.602
162	904.800	8.923	904.631
163	904.830	9.665	904.661
164	904.860	9.930	904.690
165	904.890	9.893	904.721
166	904.920	9.867	904.754
167	904.950	10.003	904.780
168	904.980	10.119	904.811
169	905.010	10.428	904.844
170	905.040	10.625	904.871
171	905.070	10.586	904.901
172	905.100	10.323	904.932
173	905.130	9.831	904.959
174	905.160	9.417	904.991
175	905.190	9.084	905.020
176	905.220	8.640	905.050
177	905.250	8.159	905.082
178	905.280	7.679	905.109
179	905.310	6.973	905.141
180	905.340	6.321	905.173
181	905.370	5.632	905.202
182	905.400	4.955	905.230
183	905.430	4.256	905.260
184	905.460	3.498	905.291
185	905.490	2.755	905.324
186	905.520	2.206	905.352
187	905.550	1.710	905.380
188	905.580	1.157	905.411
189	905.610	0.506	905.438
190	905.640	-0.352	905.468
191	905.670	-1.215	905.503
192	905.700	-2.070	905.533
193	905.730	-2.882	905.558
194	905.760	-3.561	905.592
195	905.790	-4.328	905.619
196	905.820	-5.128	905.650
197	905.850	-5.823	905.680
198	905.880	-6.235	905.710
199	905.910	-6.802	905.746
200	905.940	-7.371	905.772
201	905.970	-7.861	905.800
202	906.000	-8.188	905.831
203	906.030	-8.301	905.863
204	906.060	-8.315	905.889
205	906.090	-8.332	905.922
206	906.120	-8.353	905.952
207	906.150	-8.358	905.983
208	906.180	-8.384	906.011
209	906.210	-8.431	906.040
210	906.240	-8.237	906.072
211	906.270	-7.890	906.099
212	906.300	-7.581	906.128
213	906.330	-7.475	906.161
214	906.360	-7.260	906.190
215	906.390	-7.075	906.221
216	906.420	-7.050	906.252
217	906.450	-7.093	906.280
218	906.480	-6.950	906.312
219	906.510	-6.725	906.344
220	906.540	-6.581	906.372
221	906.570	-6.567	906.402
222	906.600	-6.544	906.432
223	906.630	-6.363	906.459
224	906.660	-6.133	906.489
225	906.690	-5.758	906.521
226	906.720	-5.353	906.551
227	906.750	-4.844	906.582
228	906.780	-4.382	906.613
229	906.810	-3.914	906.644
230	906.840	-3.390	906.671
231	906.870	-2.708	906.699
232	906.900	-1.945	906.732
233	906.930	-1.231	906.761
234	906.960	-0.697	906.788
235	906.990	-0.317	906.823
236	907.020	0.192	906.848
237	907.050	0.794	906.879
238	907.080	1.525	906.907
239	907.110	2.481	906.941
240	907.140	3.497	906.973
241	907.170	4.469	907.000
242	907.200	5.214	907.035
243	907.230	5.712	907.060
244	907.260	6.172	907.093
245	907.290	6.686	907.121
246	907.320	7.281	907.155
247	907.350	8.023	907.183
248	907.380	8.915	907.213
249	907.410	9.801	907.241
250	907.440	10.322	907.266
251	907.470	10.201	907.300
252	907.500	9.858	907.330
253	907.530	9.661	907.363
254	907.560	9.490	907.393
255	907.590	9.299	907.421
256	907.620	9.324	907.453
257	907.650	9.417	907.483
258	907.680	9.304	907.514
259	907.710	8.578	907.540
260	907.740	7.616	907.571
261	907.770	6.619	907.602
262	907.800	6.123	907.631
263	907.830	5.846	907.662
264	907.860	5.923	907.692
265	907.890	6.071	907.721
266	907.920	6.079	907.752
267	907.950	5.760	907.783
268	907.980	4.793	907.812
269	908.010	3.720	907.840
270	908.040	3.109	907.873
271	908.070	3.019	907.904
272	908.100	3.126	907.929
273	908.130	3.302	907.962
274	908.160	3.363	907.990
275	908.190	2.787	908.023
276	908.220	1.825	908.052
277	908.250	0.556	908.083
278	908.280	-0.216	908.110
279	908.310	-0.417	908.141
280	908.340	-0.413	908.174
281	908.370	-0.450	908.200
282	908.400	-0.831	908.228
283	908.430	-1.418	908.262
284	908.460	-2.419	908.291
285	908.490	-3.719	908.321
286	908.520	-4.790	908.351
287	908.550	-5.399	908.380
288	908.580	-5.432	908.412
289	908.610	-5.453	908.437
290	908.640	-5.759	908.473
291	908.670	-6.363	908.501
292	908.700	-7.069	908.534
293	908.730	-8.042	908.563
294	908.760	-8.803	908.589
295	908.790	-9.121	908.623
296	908.820	-8.843	908.651
297	908.850	-8.357	908.681
298	908.880	-8.284	908.712
299	908.910	-8.621	908.742
300	908.940	-9.036	908.772
301	908.970	-9.445	908.802
302	909.000	-9.844	908.834
