#Frequency/(GHz)	Photocurrent/(nA)
103.393	785.311
104.469	1359.147
105.543	1188.713
106.844	852.370
108.145	834.903
109.595	766.094
111.216	785.665
112.566	1603.972
113.521	1649.973
114.970	687.855
116.520	659.573
117.768	802.775
118.740	722.943
120.094	1009.910
121.596	1272.754
123.694	305.349
125.768	766.189
126.718	788.241
128.095	815.564
129.495	1031.820
130.492	944.466
131.991	791.911
133.618	892.734
134.693	1034.868
135.995	788.318
137.445	725.832
138.642	923.623
139.992	755.175
141.519	686.914
142.843	1057.869
144.269	925.067
145.696	590.196
146.870	761.734
148.018	732.081
149.443	707.818
150.870	989.228
151.871	1080.726
153.068	738.423
154.670	688.270
155.970	843.103
157.316	706.902
158.793	732.298
159.921	1102.841
161.023	919.793
162.621	661.504
164.047	834.662
165.223	671.015
166.694	663.870
167.918	1068.501
168.819	1074.652
170.345	792.665
171.968	872.210
173.092	870.772
174.393	688.617
175.869	828.320
177.071	946.110
178.568	684.419
180.091	734.479
181.191	837.844
182.617	577.126
184.016	646.259
185.093	806.321
186.594	579.965
188.194	599.625
189.219	738.455
190.218	663.155
191.692	554.164
193.093	627.780
194.043	645.289
195.493	652.398
196.943	768.711
198.117	734.366
199.718	550.238
201.242	563.724
202.191	621.914
203.517	476.422
205.193	480.162
206.344	574.789
207.196	502.200
208.894	363.664
210.468	461.397
211.519	386.728
213.093	327.382
214.469	540.727
215.546	548.130
217.021	394.156
218.393	466.261
219.493	464.522
220.944	400.306
222.217	547.316
223.392	569.283
225.018	411.589
226.518	374.160
227.692	452.166
229.145	370.711
230.370	405.972
231.418	512.771
232.494	385.510
234.069	362.816
235.641	472.823
236.593	454.201
238.071	418.572
239.569	418.786
240.743	382.708
242.193	405.376
243.642	493.767
244.819	509.808
246.219	409.573
247.594	352.247
248.770	377.785
250.317	343.153
251.640	353.815
252.716	469.222
253.919	379.575
255.294	316.276
256.744	350.384
257.895	280.496
259.344	384.627
260.817	465.641
261.893	381.394
263.371	328.415
264.693	292.393
265.842	303.932
267.444	323.501
268.820	365.421
269.895	396.141
271.470	300.197
272.919	297.045
273.968	372.300
275.444	297.494
276.794	307.575
277.968	363.394
279.147	290.966
280.498	324.417
281.944	358.073
282.992	300.986
284.370	313.088
285.846	345.962
286.996	322.117
288.544	290.136
290.020	300.703
291.095	340.005
292.542	285.901
293.895	261.886
294.971	283.477
296.520	227.234
297.993	270.502
299.091	345.077
300.141	291.163
301.592	259.116
303.171	258.052
304.245	207.765
305.591	254.892
307.043	343.291
308.119	307.465
309.593	242.889
311.016	218.386
312.191	199.677
313.667	212.467
314.994	272.667
316.067	264.697
317.241	172.617
318.793	155.698
320.267	214.370
321.493	217.477
322.845	240.102
324.043	260.854
325.317	203.562
326.893	190.364
328.268	223.628
329.470	227.694
330.919	211.418
332.140	205.273
333.288	190.879
334.815	159.402
336.318	189.600
337.545	227.340
338.620	182.225
339.917	164.044
341.466	175.880
342.694	159.344
344.044	194.705
345.394	251.262
346.444	223.243
347.869	184.612
349.317	201.791
350.517	205.426
351.994	193.108
353.444	218.372
354.619	217.188
356.118	169.511
357.471	166.536
358.623	186.663
359.945	174.091
361.293	203.317
362.494	232.547
363.694	197.181
365.167	193.218
366.590	223.927
367.892	183.726
369.243	163.507
370.594	196.071
371.697	178.304
373.121	145.648
374.668	165.802
375.768	187.370
377.119	173.798
378.470	188.789
379.544	200.657
380.844	142.893
382.419	144.407
383.766	186.195
385.117	148.430
386.568	152.348
387.645	179.486
388.718	144.744
390.292	141.275
391.769	174.771
392.966	171.942
394.391	152.617
395.718	156.183
396.917	152.350
398.368	125.079
399.843	151.026
401.043	174.141
402.370	142.128
403.721	146.824
404.919	157.736
406.094	135.666
407.543	142.769
408.893	155.184
409.969	133.169
411.544	126.647
412.993	146.994
414.069	150.499
415.420	140.245
416.870	142.256
418.169	139.070
419.517	120.402
420.870	134.414
422.170	151.782
423.495	139.243
424.847	138.604
426.071	142.935
427.269	123.473
428.719	122.956
430.168	139.792
431.469	121.159
432.796	115.081
434.017	136.309
435.217	127.590
436.668	110.989
438.118	123.899
439.294	123.397
440.620	111.989
442.095	130.003
443.294	139.045
444.493	111.710
445.944	108.023
447.269	120.580
448.494	107.139
449.945	113.880
451.219	133.355
452.393	117.543
453.869	102.253
455.196	124.857
456.395	132.957
457.869	126.045
459.194	137.009
460.241	120.238
461.690	100.843
463.169	118.688
464.369	128.547
465.919	100.682
467.244	101.125
468.319	123.555
469.646	113.202
471.096	113.095
472.421	128.739
473.621	110.093
475.069	96.205
476.417	113.375
477.617	111.211
478.944	100.709
480.269	103.018
481.444	101.775
482.744	84.264
484.192	98.867
485.542	122.304
486.894	106.945
488.244	107.472
489.543	118.359
490.820	102.681
492.168	99.037
493.542	109.463
494.869	100.875
496.169	93.867
497.367	100.208
498.568	100.232
500.120	87.685
501.469	89.403
502.568	98.585
504.017	89.815
505.468	97.979
506.745	106.399
508.071	92.624
509.418	94.712
510.617	99.852
511.944	87.695
513.394	83.633
514.593	92.334
515.791	84.938
517.266	79.154
518.594	93.444
519.745	88.548
521.068	74.791
522.443	85.609
523.844	88.376
525.169	84.534
526.419	88.504
527.693	85.943
529.116	76.076
530.591	77.071
531.793	86.820
533.018	83.537
534.394	79.679
535.668	85.394
536.967	80.802
538.443	73.500
539.769	87.314
540.994	87.555
542.317	76.954
543.618	81.090
544.794	81.703
546.119	71.166
547.594	70.164
548.842	75.515
550.093	70.454
551.494	63.012
552.768	61.915
553.994	55.449
555.444	45.868
556.721	44.798
557.971	36.144
559.369	24.428
560.844	23.634
562.443	28.281
563.894	35.710
565.094	45.417
566.269	50.888
567.595	50.423
568.944	53.158
570.296	60.721
571.620	61.366
572.892	62.122
574.167	66.872
575.493	64.509
576.843	61.173
578.168	64.048
579.519	65.891
580.869	66.073
582.142	67.988
583.443	67.218
584.919	58.941
586.269	61.743
587.394	67.439
588.597	63.240
589.973	64.792
591.298	69.075
592.521	61.101
593.843	61.917
595.192	69.079
596.570	62.144
597.995	65.506
599.243	70.098
600.444	61.494
601.820	57.609
603.194	61.502
604.545	55.339
605.820	50.819
607.092	54.086
608.440	57.480
609.793	52.528
611.145	52.402
612.418	56.588
613.692	48.736
615.044	51.449
616.395	57.194
617.745	50.240
619.095	50.542
620.319	55.466
621.492	48.956
622.894	45.910
624.370	49.934
625.619	49.350
626.944	47.484
628.345	51.780
629.519	50.457
630.869	44.283
632.344	46.171
633.668	47.302
634.968	42.941
636.268	48.091
637.443	52.701
638.769	47.717
640.244	45.175
641.468	46.468
642.668	43.873
644.092	44.034
645.417	49.184
646.642	48.404
648.066	42.916
649.418	44.725
650.621	49.536
652.019	43.303
653.342	43.094
654.517	46.513
655.841	40.066
657.219	37.166
658.571	40.709
659.944	36.451
661.244	33.880
662.496	39.092
663.818	37.418
665.267	33.719
666.592	37.281
667.741	37.919
669.068	34.243
670.445	33.507
671.770	35.027
673.095	34.253
674.418	36.296
675.717	40.868
677.018	36.544
678.369	31.959
679.718	31.598
681.043	31.213
682.370	32.837
683.669	35.992
684.869	33.726
686.194	27.439
687.647	28.382
688.972	32.711
690.394	32.159
691.718	33.638
692.943	36.687
694.268	31.898
695.594	30.983
696.918	33.693
698.118	32.078
699.445	32.842
700.870	33.083
702.067	28.331
703.418	28.159
704.867	33.615
706.067	33.454
707.419	29.290
708.820	27.980
709.995	27.942
711.395	25.169
712.844	27.497
714.017	29.268
715.367	23.937
716.793	26.536
718.094	28.984
719.319	24.224
720.645	25.479
722.071	28.563
723.244	24.270
724.567	23.213
725.918	25.012
727.268	23.554
728.717	24.466
729.916	26.686
731.092	26.398
732.418	22.648
733.791	22.187
735.118	23.667
736.419	22.661
737.745	22.432
739.045	22.827
