#Frequency/(GHz)	Photocurrent/(nA)
740.345	21.035
741.796	20.024
743.120	22.216
744.344	21.845
745.793	18.653
747.067	19.014
748.192	19.376
749.669	17.063
751.045	17.197
752.145	15.936
753.497	10.799
754.946	9.420
756.366	10.561
757.865	11.097
759.244	13.852
760.420	17.122
761.645	15.496
763.044	15.011
764.344	16.712
765.595	15.829
767.044	16.265
768.367	18.603
769.667	16.781
771.095	15.295
772.320	17.782
773.646	16.966
775.098	15.470
776.370	17.533
777.518	17.423
778.893	15.432
780.269	18.613
781.469	18.595
782.769	15.936
784.169	17.015
785.443	17.830
786.669	16.092
788.170	15.567
789.495	15.729
790.692	15.040
792.042	14.784
793.368	14.838
794.694	13.893
796.145	13.775
797.443	17.507
798.644	17.195
799.869	14.382
801.293	15.045
802.618	15.892
803.770	13.179
805.194	13.827
806.569	16.039
807.894	14.698
809.342	14.810
810.643	16.547
811.819	15.004
813.294	13.452
814.642	14.685
815.841	13.375
817.168	11.434
818.469	13.735
819.668	14.110
821.118	11.512
822.594	12.924
823.796	14.239
825.070	12.736
826.494	13.090
827.694	14.364
828.918	13.250
830.396	12.819
831.695	14.230
832.867	13.338
834.191	12.764
835.541	14.688
836.768	12.362
838.170	10.665
839.570	13.604
840.767	14.099
842.092	11.027
843.569	11.448
844.792	12.029
846.069	10.951
847.498	11.320
848.747	11.852
850.094	10.814
851.518	10.404
852.719	12.592
854.045	12.132
855.346	9.445
856.669	10.298
858.018	10.687
859.344	9.532
860.768	11.621
861.943	11.730
863.269	10.544
864.746	11.305
865.971	11.740
867.294	11.048
868.719	10.355
869.919	10.993
871.243	11.679
872.694	10.564
873.919	10.251
875.243	9.485
876.642	8.248
877.918	10.296
879.144	9.891
880.494	8.883
881.845	9.763
883.195	8.380
884.493	8.819
885.768	11.276
887.068	11.053
888.293	10.135
889.646	9.540
890.970	8.579
892.369	9.223
893.795	9.942
894.995	10.525
896.220	9.110
897.694	7.487
899.019	8.792
900.343	9.165
901.644	8.486
902.818	9.570
904.143	9.380
905.544	7.612
906.895	8.755
908.096	9.481
909.370	9.624
910.744	9.957
912.095	9.359
913.543	8.654
914.942	9.525
916.118	10.359
917.342	9.054
918.693	7.820
920.094	8.717
921.417	8.982
922.692	7.910
923.991	8.652
925.265	8.735
926.593	8.704
927.943	9.520
929.269	8.925
930.693	8.720
932.018	9.841
933.218	10.292
934.644	8.936
936.095	8.314
937.320	9.072
938.594	8.637
939.894	8.214
941.119	8.632
942.443	8.125
943.794	7.703
945.144	8.469
946.393	8.201
947.692	7.743
949.091	8.323
950.418	8.432
951.745	7.894
953.094	8.201
954.396	9.033
955.793	8.444
957.142	8.089
958.368	8.771
959.795	7.878
961.220	7.606
962.396	8.529
963.472	7.642
964.819	7.882
966.269	9.401
967.495	8.063
968.820	7.731
970.219	8.767
971.417	8.090
972.820	7.857
974.295	7.741
975.441	7.922
976.841	8.681
978.269	8.906
979.470	9.099
980.792	8.349
982.042	8.008
983.270	8.689
984.646	7.613
985.919	6.981
987.144	7.455
988.445	6.016
989.821	4.647
991.320	4.676
992.718	5.270
994.041	6.160
995.366	6.471
996.543	6.519
997.894	6.491
999.371	6.937
1000.646	7.773
1001.818	6.955
1003.117	6.516
1004.544	7.279
1005.921	7.096
1007.219	7.073
1008.392	7.560
1009.618	7.477
1011.043	7.060
1012.494	8.154
1013.744	8.449
1015.018	7.748
1016.416	8.311
1017.665	8.286
1018.993	7.531
1020.394	7.802
1021.567	8.152
1022.770	7.182
1024.121	7.132
1025.467	7.868
1026.768	7.069
1028.196	7.228
1029.546	8.270
1030.745	7.843
1032.118	8.180
1033.467	8.987
1034.690	8.499
1036.065	7.988
1037.392	8.181
1038.617	8.205
1039.968	7.827
1041.244	7.760
1042.443	7.682
1043.817	7.042
1045.240	7.117
1046.440	7.631
1047.668	7.338
1049.069	7.272
1050.392	7.603
1051.691	6.874
1053.092	6.453
1054.469	7.269
1055.770	7.317
1057.119	6.579
1058.393	6.938
1059.569	6.958
1060.943	6.860
1062.367	7.803
1063.620	7.625
1064.869	6.698
1066.192	6.832
1067.495	7.244
1068.747	7.087
1070.019	6.885
1071.317	7.112
1072.668	6.823
1074.093	6.016
1075.342	6.353
1076.545	7.076
1077.895	6.906
1079.218	6.899
1080.467	6.645
1081.717	6.120
1083.043	6.580
1084.392	6.415
1085.543	5.658
1086.819	5.769
1088.144	5.671
1089.344	4.741
1090.668	3.812
1091.942	3.639
1093.245	3.326
1094.444	2.318
1095.593	1.567
1096.870	0.887
1098.344	0.333
1100.568	0.312
1102.541	0.715
1103.791	1.289
1105.093	1.787
1106.245	2.341
1107.396	2.721
1108.693	2.901
1109.967	3.103
1111.143	2.955
1112.417	2.626
1113.767	2.193
1115.243	1.666
1116.818	1.956
1118.117	2.831
1119.292	3.389
1120.669	3.703
1121.969	3.843
1123.168	4.283
1124.493	4.628
1125.742	4.524
1126.941	4.546
1128.193	4.301
1129.594	4.555
1130.946	5.119
1132.169	5.054
1133.490	5.262
1134.840	5.408
1136.141	5.100
1137.418	4.866
1138.719	5.098
1140.044	5.392
1141.369	5.056
1142.592	4.857
1143.843	4.747
1145.117	4.577
1146.368	4.771
1147.671	4.546
1148.944	4.237
1150.268	3.918
1151.565	3.451
1152.765	2.851
1154.092	2.146
1155.443	1.933
1156.768	1.943
1158.090	1.774
1159.340	1.604
1160.544	1.260
1161.670	0.675
1162.917	0.293
1165.265	0.206
1167.592	0.551
1168.794	1.119
1169.919	1.542
1171.144	2.168
1172.345	3.014
1173.594	2.979
1174.844	2.940
1176.095	3.859
1177.420	4.122
1178.744	3.587
1179.993	3.753
1181.217	4.117
1182.567	4.094
1183.919	4.164
1185.118	4.323
1186.343	3.834
1187.718	3.596
1189.091	4.122
1190.317	4.116
1191.543	4.071
1192.893	4.274
1194.117	4.216
1195.444	4.000
1196.892	4.148
1198.166	4.648
1199.421	4.439
1200.746	3.923
1201.993	3.999
1203.292	3.460
1204.643	2.832
1205.816	2.855
1206.989	2.323
1208.367	1.485
1210.046	1.389
1211.668	1.808
1212.941	2.220
1214.191	3.080
1215.393	3.605
1216.620	3.682
1217.967	3.743
1219.192	3.729
1220.444	3.794
1221.821	3.531
1223.045	3.522
1224.242	3.217
1225.543	2.644
1226.847	2.279
1228.146	1.709
1229.594	1.296
1231.120	1.403
1232.620	1.736
1233.918	2.134
1235.168	2.769
1236.493	2.966
1237.744	3.091
1239.069	3.500
1240.394	3.195
1241.668	2.963
1243.041	3.286
1244.366	3.796
1245.592	3.819
1246.920	3.641
1248.121	3.665
1249.394	3.513
1250.793	3.557
1252.143	4.048
1253.345	4.172
1254.646	3.973
1256.072	3.921
1257.347	3.694
1258.673	3.640
1260.021	3.911
1261.219	4.263
1262.445	3.866
1263.768	3.559
1265.069	3.807
1266.369	3.731
1267.666	3.547
1268.994	3.921
1270.345	3.757
1271.667	3.438
1272.970	3.585
1274.245	3.594
1275.542	3.296
1276.895	3.252
1278.118	3.297
1279.466	2.863
1281.017	2.915
1282.317	3.599
1283.519	3.338
1284.847	2.697
1286.170	2.979
1287.418	2.855
1288.743	2.879
1290.118	3.280
1291.390	3.157
1292.838	2.881
1294.216	3.295
1295.369	3.361
1296.694	3.076
1298.066	3.298
1299.265	3.588
1300.594	3.246
1301.944	2.975
1303.244	3.209
1304.645	3.085
1305.943	3.214
1307.244	3.698
1308.395	3.396
1309.718	3.079
1311.240	3.441
1312.441	3.269
1313.646	2.952
1314.971	3.019
1316.191	3.033
1317.541	2.752
