#Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)
1	100.000	-588.661	99.999
2	100.050	-580.725	99.995
3	100.100	-584.134	100.000
4	100.150	-552.703	100.011
5	100.150	-509.591	100.027
6	100.200	-471.852	100.047
7	100.250	-445.593	100.076
8	100.300	-413.346	100.097
9	100.350	-378.998	100.137
10	100.400	-331.315	100.171
11	100.450	-248.356	100.204
12	100.500	-149.418	100.247
13	100.550	-82.491	100.287
14	100.600	-61.301	100.328
15	100.650	-68.609	100.377
16	100.700	-3.207	100.417
17	100.750	178.981	100.465
18	100.800	396.265	100.512
19	100.850	486.457	100.565
20	100.900	517.298	100.612
21	100.950	640.075	100.659
22	101.000	942.375	100.709
23	101.050	1272.616	100.758
24	101.100	1309.006	100.808
25	101.150	1274.037	100.862
26	101.200	1249.242	100.911
27	101.250	1285.781	100.961
28	101.300	1117.017	101.012
29	101.350	594.802	101.060
30	101.400	351.488	101.113
31	101.450	326.305	101.169
32	101.500	379.959	101.215
33	101.550	216.504	101.263
34	101.600	-152.591	101.315
35	101.650	-229.929	101.360
36	101.700	-204.244	101.415
37	101.750	-169.765	101.460
38	101.800	-146.517	101.514
39	101.850	-179.995	101.562
40	101.900	-167.202	101.610
41	101.950	-219.013	101.660
42	102.000	-275.129	101.717
43	102.050	-255.384	101.769
44	102.100	-271.060	101.815
45	102.150	-312.863	101.865
46	102.200	-279.701	101.914
47	102.250	-262.588	101.964
48	102.300	-316.335	102.016
49	102.350	-322.808	102.065
50	102.400	-302.659	102.118
51	102.450	-247.599	102.165
52	102.500	-209.176	102.214
53	102.550	-212.682	102.269
54	102.600	-168.376	102.317
55	102.650	-172.311	102.365
56	102.700	-308.695	102.418
57	102.750	-425.968	102.464
58	102.800	-392.740	102.513
59	102.850	-346.824	102.566
60	102.900	-367.403	102.613
61	102.950	-418.064	102.662
62	103.000	-437.521	102.716
63	103.050	-345.129	102.765
64	103.100	-282.502	102.814
65	103.150	-323.035	102.865
66	103.200	-364.528	102.916
67	103.250	-395.576	102.968
68	103.300	-300.558	103.019
69	103.350	-217.898	103.065
70	103.400	-198.539	103.121
71	103.450	-194.962	103.165
72	103.500	-178.771	103.215
73	103.550	6.372	103.267
74	103.600	204.728	103.317
75	103.650	213.292	103.364
76	103.700	168.753	103.415
77	103.750	118.248	103.468
78	103.800	203.319	103.517
79	103.850	386.830	103.564
80	103.900	440.879	103.613
81	103.950	502.553	103.665
82	104.000	551.110	103.715
83	104.050	661.274	103.769
84	104.100	910.015	103.817
85	104.150	1017.980	103.869
86	104.200	1010.909	103.921
87	104.250	977.553	103.965
88	104.300	1018.465	104.018
89	104.350	1133.102	104.069
90	104.400	1042.900	104.121
91	104.450	932.270	104.164
92	104.500	854.320	104.219
93	104.550	847.076	104.271
94	104.600	827.246	104.320
95	104.650	667.475	104.362
96	104.700	327.744	104.419
97	104.750	-13.896	104.469
98	104.800	-272.612	104.515
99	104.850	-546.693	104.565
100	104.900	-871.269	104.612
101	104.950	-1120.386	104.665
102	105.000	-1339.955	104.717
103	105.050	-1496.178	104.768
104	105.100	-1579.532	104.822
105	105.150	-1585.192	104.869
106	105.200	-1379.453	104.917
107	105.250	-1247.428	104.970
108	105.300	-1130.842	105.016
109	105.350	-970.337	105.065
110	105.400	-840.386	105.119
111	105.450	-611.803	105.165
112	105.500	-426.348	105.214
113	105.550	-357.103	105.263
114	105.600	-278.686	105.317
115	105.650	-225.885	105.366
116	105.700	-156.108	105.418
117	105.750	-52.929	105.465
118	105.800	-0.268	105.518
119	105.850	45.727	105.567
120	105.900	204.766	105.613
121	105.950	489.838	105.671
122	106.000	562.562	105.718
123	106.050	532.802	105.772
124	106.100	554.345	105.814
125	106.150	547.200	105.864
126	106.200	571.182	105.912
127	106.250	590.888	105.969
128	106.300	574.634	106.017
129	106.350	556.890	106.065
130	106.400	619.545	106.113
131	106.450	707.022	106.168
132	106.500	792.233	106.217
133	106.550	588.626	106.271
134	106.600	296.390	106.319
135	106.650	169.668	106.367
136	106.700	152.911	106.419
137	106.750	134.209	106.466
138	106.800	128.872	106.518
139	106.850	147.623	106.565
140	106.900	158.435	106.620
141	106.950	189.401	106.671
142	107.000	232.789	106.718
143	107.050	299.865	106.766
144	107.100	368.768	106.816
145	107.150	447.018	106.871
146	107.200	488.890	106.918
147	107.250	520.566	106.968
148	107.300	534.893	107.016
149	107.350	408.594	107.071
150	107.400	180.148	107.116
151	107.450	37.725	107.168
152	107.500	-146.888	107.216
153	107.550	-455.109	107.272
154	107.600	-688.977	107.320
155	107.650	-729.545	107.361
156	107.700	-818.249	107.417
157	107.750	-912.507	107.470
158	107.800	-865.795	107.515
159	107.850	-820.257	107.560
160	107.900	-788.996	107.621
161	107.950	-738.693	107.668
162	108.000	-626.654	107.720
163	108.050	-521.073	107.771
164	108.100	-510.507	107.818
165	108.150	-523.503	107.866
166	108.200	-525.937	107.914
167	108.250	-447.286	107.967
168	108.300	-301.393	108.017
169	108.350	-235.047	108.067
170	108.400	-216.766	108.122
171	108.450	-192.612	108.167
172	108.500	-141.140	108.217
173	108.550	-30.509	108.265
174	108.600	51.850	108.318
175	108.650	32.981	108.372
176	108.700	16.834	108.426
177	108.750	9.050	108.470
178	108.800	130.699	108.516
179	108.850	316.093	108.570
180	108.900	363.965	108.616
181	108.950	373.149	108.667
182	109.000	457.079	108.711
183	109.050	664.244	108.769
184	109.100	757.298	108.821
185	109.150	609.906	108.870
186	109.200	539.747	108.918
187	109.250	567.913	108.969
188	109.300	640.509	109.019
189	109.350	671.150	109.066
190	109.400	577.382	109.122
191	109.450	485.680	109.170
192	109.500	496.067	109.221
