Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)
219	210.900	-286.065	210.775
220	210.950	-297.049	210.818
221	211.000	-359.305	210.871
222	211.050	-454.381	210.920
223	211.100	-540.795	210.973
224	211.150	-550.699	211.020
225	211.200	-498.370	211.073
226	211.250	-406.369	211.125
227	211.300	-302.675	211.177
228	211.350	-242.056	211.220
229	211.400	-232.916	211.271
230	211.450	-228.644	211.325
231	211.500	-231.388	211.372
232	211.550	-242.597	211.421
233	211.600	-221.281	211.473
234	211.650	-153.294	211.518
235	211.700	-89.366	211.575
236	211.750	-39.309	211.624
237	211.800	41.261	211.671
238	211.850	130.940	211.722
239	211.900	189.910	211.771
240	211.950	208.650	211.820
241	212.000	219.451	211.873
242	212.050	258.235	211.923
243	212.100	331.231	211.976
244	212.150	325.974	212.022
245	212.200	286.035	212.073
246	212.250	277.971	212.123
247	212.300	267.359	212.174
248	212.350	236.390	212.228
249	212.400	214.813	212.271
250	212.450	199.415	212.322
251	212.500	194.021	212.375
252	212.550	201.800	212.428
253	212.600	208.768	212.475
254	212.650	187.442	212.523
255	212.700	148.847	212.573
256	212.750	116.864	212.627
257	212.800	95.488	212.673
258	212.850	84.621	212.722
259	212.900	60.116	212.770
260	212.950	47.874	212.825
261	213.000	56.270	212.876
262	213.050	64.334	212.922
263	213.100	61.000	212.973
264	213.150	31.402	213.018
265	213.200	-6.795	213.074
266	213.250	-32.380	213.124
267	213.300	-39.959	213.175
268	213.350	-22.223	213.222
269	213.400	7.772	213.273
270	213.450	36.465	213.327
271	213.500	48.582	213.373
272	213.550	18.808	213.420
273	213.600	-26.252	213.475
274	213.650	-71.807	213.521
275	213.700	-150.385	213.571
276	213.750	-226.640	213.623
277	213.800	-244.167	213.672
278	213.850	-249.556	213.721
279	213.900	-270.040	213.773
280	213.950	-305.839	213.824
281	214.000	-354.572	213.870
282	214.050	-372.719	213.922
283	214.100	-347.843	213.970
284	214.150	-361.400	214.021
285	214.200	-416.070	214.067
286	214.250	-444.039	214.122
287	214.300	-301.462	214.171
288	214.350	-164.539	214.221
289	214.400	-121.689	214.276
290	214.450	-112.839	214.323
291	214.500	-88.799	214.375
292	214.550	-84.475	214.423
293	214.600	-109.210	214.473
294	214.650	-72.652	214.522
295	214.700	24.572	214.572
296	214.750	192.957	214.626
297	214.800	421.476	214.671
298	214.850	451.338	214.723
299	214.900	365.949	214.772
300	214.950	333.606	214.820
301	215.000	352.950	214.872
302	215.050	370.893	214.923
303	215.100	378.506	214.972
304	215.150	388.663	215.022
305	215.200	396.193	215.073
306	215.250	406.192	215.125
307	215.300	389.241	215.171
308	215.350	286.907	215.222
309	215.400	176.935	215.273
310	215.450	139.124	215.322
311	215.500	113.934	215.373
312	215.550	73.465	215.420
313	215.600	44.887	215.474
314	215.650	46.542	215.524
315	215.700	51.166	215.572
316	215.750	14.773	215.623
317	215.800	-33.505	215.666
318	215.850	-46.349	215.719
319	215.900	-70.969	215.769
320	215.950	-84.505	215.822
321	216.000	-97.317	215.876
322	216.050	-132.203	215.925
323	216.100	-176.765	215.977
324	216.150	-184.023	216.023
325	216.200	-171.190	216.074
326	216.250	-161.867	216.120
327	216.300	-199.246	216.175
328	216.350	-250.225	216.223
329	216.400	-269.796	216.274
330	216.450	-258.508	216.324
331	216.500	-256.077	216.374
332	216.550	-253.893	216.428
333	216.600	-234.387	216.474
334	216.650	-199.638	216.525
335	216.700	-177.140	216.573
336	216.750	-182.452	216.622
337	216.800	-189.587	216.673
338	216.850	-171.818	216.724
339	216.900	-150.288	216.773
340	216.950	-135.658	216.821
341	217.000	-113.174	216.878
342	217.050	-92.203	216.922
343	217.100	-73.474	216.968
344	217.150	-47.519	217.024
345	217.200	-13.392	217.074
346	217.250	3.751	217.121
347	217.300	2.389	217.170
348	217.350	2.229	217.223
349	217.400	36.388	217.270
350	217.450	87.555	217.321
351	217.500	110.359	217.373
352	217.550	117.094	217.425
353	217.600	137.141	217.474
354	217.650	176.311	217.526
355	217.700	222.076	217.571
356	217.750	252.848	217.625
357	217.800	290.795	217.670
358	217.850	360.375	217.720
359	217.900	408.274	217.776
360	217.950	413.016	217.824
361	218.000	369.837	217.868
362	218.050	325.835	217.925
363	218.100	292.873	217.976
364	218.150	274.550	218.023
365	218.200	292.120	218.073
366	218.250	327.323	218.123
367	218.300	327.857	218.172
368	218.350	277.436	218.228
369	218.400	131.166	218.277
370	218.450	-52.452	218.324
371	218.500	-122.232	218.369
372	218.550	-143.127	218.424
373	218.600	-128.849	218.474
374	218.650	-111.662	218.521
375	218.700	-122.603	218.577
376	218.750	-184.304	218.626
377	218.800	-293.399	218.676
378	218.850	-402.044	218.723
379	218.900	-454.608	218.774
380	218.950	-405.983	218.825
381	219.000	-328.009	218.869
382	219.050	-271.622	218.922
383	219.100	-228.051	218.970
384	219.150	-226.081	219.020
385	219.200	-258.503	219.077
386	219.250	-319.933	219.122
387	219.300	-408.658	219.173
388	219.350	-477.806	219.222
389	219.400	-396.186	219.271
390	219.450	-207.365	219.326
391	219.500	-64.193	219.372
392	219.550	-11.478	219.422
393	219.600	4.465	219.469
394	219.650	-12.600	219.524
395	219.700	-30.743	219.577
396	219.750	-38.885	219.623
397	219.800	-26.297	219.668
398	219.850	56.388	219.723
399	219.900	268.116	219.774
400	219.950	374.548	219.820
401	220.000	367.404	219.871
402	220.050	316.329	219.922
403	220.100	265.441	219.976
404	220.150	232.772	220.023
405	220.200	223.516	220.070
406	220.250	240.617	220.124
407	220.300	284.498	220.172
408	220.350	344.791	220.223
409	220.400	363.562	220.272
410	220.450	268.135	220.322
411	220.500	194.390	220.370
412	220.550	143.975	220.426
413	220.600	82.483	220.472
414	220.650	34.100	220.521
415	220.700	20.967	220.569
416	220.750	24.784	220.626
417	220.800	24.372	220.667
418	220.850	15.887	220.721
419	220.900	4.938	220.767
420	220.950	-30.233	220.823
421	221.000	-78.651	220.873
422	221.050	-102.391	220.921
423	221.100	-99.387	220.971
424	221.150	-84.666	221.028
425	221.200	-66.990	221.072
426	221.250	-50.048	221.121
427	221.300	-45.093	221.172
428	221.350	-49.548	221.225
429	221.400	-59.332	221.272
430	221.450	-71.061	221.319
431	221.500	-72.584	221.377
432	221.550	-52.593	221.421
433	221.600	-31.218	221.472
434	221.650	-22.609	221.521
435	221.700	-37.854	221.574
436	221.750	-71.895	221.622
437	221.800	-112.933	221.670
438	221.850	-139.353	221.725
439	221.900	-147.061	221.770
440	221.950	-152.442	221.823
441	222.000	-197.450	221.875
442	222.050	-264.156	221.923
443	222.100	-269.048	221.971
444	222.150	-228.859	222.025
445	222.200	-215.695	222.072
446	222.250	-211.452	222.122
447	222.300	-180.026	222.171
448	222.350	-128.142	222.225
449	222.400	-97.148	222.273
450	222.450	-91.799	222.327
451	222.500	-98.517	222.374
452	222.550	-66.564	222.424
453	222.600	49.478	222.473
454	222.650	107.529	222.524
455	222.700	97.431	222.574
456	222.750	90.874	222.623
457	222.800	111.866	222.672
458	222.850	140.156	222.721
459	222.900	138.200	222.771
460	222.950	117.562	222.824
461	223.000	135.308	222.872
462	223.050	239.327	222.921
463	223.100	416.894	222.973
464	223.150	431.730	223.022
465	223.200	361.665	223.076
466	223.250	315.863	223.123
467	223.300	282.596	223.173
468	223.350	244.317	223.224
469	223.400	206.294	223.269
470	223.450	192.170	223.323
471	223.500	229.429	223.369
472	223.550	258.870	223.424
473	223.600	188.154	223.472
474	223.650	53.051	223.520
475	223.700	-31.827	223.573
476	223.750	-52.206	223.623
477	223.800	-60.644	223.671
478	223.850	-66.463	223.723
479	223.900	-56.186	223.773
480	223.950	-45.177	223.819
481	224.000	-71.377	223.873
482	224.050	-164.652	223.925
483	224.100	-264.037	223.974
484	224.150	-313.405	224.024
485	224.200	-305.054	224.071
486	224.250	-283.653	224.119
487	224.300	-281.660	224.169
488	224.350	-292.771	224.224
489	224.400	-295.545	224.272
490	224.450	-259.847	224.324
491	224.500	-193.310	224.373
492	224.550	-153.870	224.423
493	224.600	-161.619	224.476
494	224.650	-179.468	224.521
495	224.700	-158.953	224.573
496	224.750	-102.396	224.623
497	224.800	-66.427	224.672
498	224.850	-33.422	224.724
499	224.900	-8.231	224.770
500	224.950	4.570	224.827
501	225.000	8.037	224.875
502	225.050	-10.914	224.923
503	225.100	-27.199	224.974
504	225.150	-11.043	225.023
505	225.200	20.144	225.074
506	225.250	43.815	225.124
507	225.300	50.466	225.169
508	225.350	55.871	225.222
509	225.400	75.646	225.271
510	225.450	98.121	225.321
511	225.500	109.684	225.368
512	225.550	119.864	225.423
513	225.600	147.655	225.476
514	225.650	182.691	225.526
515	225.700	186.208	225.573
516	225.750	190.553	225.624
517	225.800	205.701	225.673
518	225.850	234.905	225.728
519	225.900	260.206	225.774
520	225.950	250.195	225.823
521	226.000	248.582	225.870
522	226.050	291.142	225.928
523	226.100	305.655	225.972
524	226.150	247.618	226.019
525	226.200	179.004	226.069
526	226.250	119.601	226.122
527	226.300	99.251	226.176
528	226.350	97.145	226.226
529	226.400	102.202	226.277
530	226.450	89.661	226.323
531	226.500	60.327	226.378
532	226.550	-10.967	226.422
533	226.600	-134.089	226.474
534	226.650	-277.092	226.524
535	226.700	-343.967	226.575
536	226.750	-298.211	226.626
537	226.800	-221.089	226.671
538	226.850	-179.599	226.726
539	226.900	-190.062	226.775
540	226.950	-229.120	226.824
541	227.000	-288.354	226.874
542	227.050	-353.195	226.921
543	227.100	-404.357	226.972
544	227.150	-386.753	227.027
545	227.200	-271.947	227.070
546	227.250	-149.238	227.124
547	227.300	-101.707	227.170
548	227.350	-101.402	227.220
549	227.400	-126.558	227.275
550	227.450	-164.084	227.322
551	227.500	-192.011	227.372
552	227.550	-199.082	227.424
553	227.600	-205.280	227.479
554	227.650	-136.397	227.526
555	227.700	70.604	227.574
556	227.750	227.749	227.620
557	227.800	236.687	227.671
558	227.850	178.167	227.724
559	227.900	129.843	227.772
560	227.950	111.098	227.823
561	228.000	122.183	227.872
562	228.050	171.441	227.923
563	228.100	254.998	227.974
564	228.150	356.159	228.024
565	228.200	450.439	228.071
566	228.250	406.402	228.120
567	228.300	285.793	228.174
568	228.350	197.839	228.220
569	228.400	150.775	228.273
570	228.450	135.605	228.326
571	228.500	128.447	228.376
572	228.550	139.993	228.422
573	228.600	168.097	228.471
574	228.650	175.211	228.522
575	228.700	125.622	228.572
576	228.750	5.025	228.626
577	228.800	-76.482	228.672
578	228.850	-99.330	228.721
579	228.900	-103.187	228.770
580	228.950	-92.236	228.821
581	229.000	-76.875	228.871
582	229.050	-62.089	228.921
583	229.100	-59.421	228.972
584	229.150	-82.471	229.024
585	229.200	-121.523	229.072
586	229.250	-154.679	229.119
587	229.300	-155.601	229.170
588	229.350	-120.422	229.224
589	229.400	-83.796	229.276
590	229.450	-56.960	229.323
591	229.500	-43.408	229.371
592	229.550	-40.804	229.426
593	229.600	-42.549	229.474
594	229.650	-43.111	229.522
595	229.700	-43.177	229.572
596	229.750	-46.200	229.623
597	229.800	-62.834	229.673
598	229.850	-100.048	229.722
599	229.900	-132.243	229.772
600	229.950	-138.749	229.822
601	230.000	-142.431	229.872
602	230.050	-132.029	229.921
603	230.100	-126.730	229.972
604	230.150	-132.723	230.022
605	230.200	-124.725	230.074
606	230.250	-121.681	230.127
607	230.300	-149.652	230.176
608	230.350	-165.514	230.224
609	230.400	-136.201	230.272
610	230.450	-92.359	230.323
611	230.500	-69.292	230.373
612	230.550	-39.669	230.423
613	230.600	1.362	230.471
614	230.650	30.888	230.521
615	230.700	29.552	230.574
616	230.750	17.487	230.623
617	230.800	39.826	230.671
618	230.850	137.912	230.722
619	230.900	236.679	230.775
620	230.950	260.645	230.826
621	231.000	247.995	230.873
622	231.050	235.265	230.921
623	231.100	239.548	230.970
624	231.150	255.537	231.024
625	231.200	258.993	231.074
626	231.250	291.769	231.126
627	231.300	360.756	231.174
628	231.350	418.962	231.223
629	231.400	370.150	231.272
630	231.450	229.486	231.322
631	231.500	143.534	231.373
632	231.550	111.353	231.423
633	231.600	106.451	231.475
634	231.650	106.430	231.526
635	231.700	85.677	231.573
636	231.750	51.936	231.621
637	231.800	-21.839	231.673
638	231.850	-124.720	231.724
639	231.900	-242.799	231.772
640	231.950	-286.582	231.823
641	232.000	-279.812	231.876
642	232.050	-254.973	231.923
643	232.100	-218.887	231.977
644	232.150	-193.538	232.024
645	232.200	-191.755	232.074
646	232.250	-223.548	232.124
647	232.300	-303.432	232.172
648	232.350	-419.820	232.218
649	232.400	-446.393	232.275
650	232.450	-357.005	232.328
651	232.500	-266.131	232.373
652	232.550	-186.901	232.420
653	232.600	-130.241	232.472
654	232.650	-106.490	232.523
655	232.700	-116.863	232.573
656	232.750	-143.938	232.626
657	232.800	-148.283	232.673
658	232.850	-37.050	232.723
659	232.900	114.878	232.775
660	232.950	178.365	232.823
661	233.000	201.751	232.877
662	233.050	208.903	232.919
663	233.100	174.424	232.974
664	233.150	151.184	233.026
665	233.200	127.958	233.072
666	233.250	118.682	233.123
667	233.300	118.026	233.175
668	233.350	157.713	233.225
669	233.400	167.963	233.271
670	233.450	136.136	233.323
671	233.500	125.595	233.372
672	233.550	123.213	233.424
673	233.600	105.104	233.472
674	233.650	88.301	233.522
675	233.700	79.185	233.573
676	233.750	76.666	233.624
677	233.800	82.509	233.675
678	233.850	93.474	233.725
679	233.900	108.754	233.773
680	233.950	120.234	233.822
681	234.000	129.316	233.872
682	234.050	135.355	233.922
683	234.100	135.478	233.971
684	234.150	119.872	234.022
685	234.200	102.209	234.069
686	234.250	78.336	234.125
687	234.300	72.055	234.170
688	234.350	99.126	234.224
689	234.400	116.694	234.273
690	234.450	40.932	234.323
691	234.500	-54.742	234.372
692	234.550	-82.167	234.423
693	234.600	-81.096	234.475
694	234.650	-81.646	234.526
695	234.700	-103.850	234.580
696	234.750	-141.042	234.624
697	234.800	-181.250	234.667
698	234.850	-204.495	234.719
699	234.900	-220.771	234.772
700	234.950	-253.973	234.822
701	235.000	-271.499	234.873
702	235.050	-227.949	234.924
703	235.100	-192.698	234.975
704	235.150	-180.169	235.022
705	235.200	-180.883	235.074
706	235.250	-194.056	235.120
707	235.300	-196.955	235.172
708	235.350	-167.971	235.225
709	235.400	-136.680	235.275
710	235.450	-132.127	235.326
711	235.500	-140.780	235.374
712	235.550	-48.804	235.428
713	235.600	29.206	235.474
714	235.650	30.408	235.524
715	235.700	24.816	235.575
716	235.750	21.684	235.623
717	235.800	6.149	235.672
718	235.850	9.765	235.723
719	235.900	66.161	235.771
720	235.950	132.150	235.822
721	236.000	182.640	235.872
722	236.050	243.198	235.923
723	236.100	253.297	235.973
724	236.150	208.967	236.024
725	236.200	190.619	236.072
726	236.250	191.255	236.123
727	236.300	196.073	236.168
728	236.350	202.514	236.225
729	236.400	220.892	236.273
730	236.450	245.986	236.321
731	236.500	239.233	236.371
732	236.550	193.107	236.420
733	236.600	133.419	236.475
734	236.650	86.193	236.520
735	236.700	61.406	236.572
736	236.750	55.136	236.624
737	236.800	61.648	236.673
738	236.850	54.797	236.723
739	236.900	30.202	236.772
740	236.950	14.611	236.822
741	237.000	-17.490	236.874
742	237.050	-66.805	236.924
743	237.100	-124.650	236.974
744	237.150	-170.683	237.026
745	237.200	-182.894	237.075
746	237.250	-170.506	237.120
747	237.300	-166.337	237.170
748	237.350	-174.449	237.225
749	237.400	-173.819	237.268
750	237.450	-165.681	237.321
751	237.500	-159.007	237.377
752	237.550	-147.773	237.427
753	237.600	-126.940	237.470
754	237.650	-63.576	237.525
755	237.700	0.643	237.570
756	237.750	10.593	237.628
757	237.800	-8.183	237.670
758	237.850	-31.463	237.721
759	237.900	-52.245	237.771
760	237.950	-68.241	237.821
761	238.000	-77.585	237.869
762	238.050	-97.952	237.920
763	238.100	-118.666	237.971
764	238.150	-127.665	238.022
765	238.200	-131.522	238.078
766	238.250	-111.357	238.124
767	238.300	-82.284	238.175
768	238.350	-72.115	238.223
769	238.400	-64.263	238.271
770	238.450	-24.787	238.320
771	238.500	-0.722	238.372
772	238.550	-12.118	238.417
773	238.600	-33.198	238.474
774	238.650	-31.879	238.526
775	238.700	6.258	238.576
776	238.750	57.786	238.621
777	238.800	106.350	238.672
778	238.850	138.860	238.723
779	238.900	163.244	238.772
780	238.950	190.238	238.820
781	239.000	206.889	238.870
782	239.050	218.253	238.920
783	239.100	263.497	238.973
784	239.150	324.016	239.020
785	239.200	318.269	239.075
786	239.250	267.081	239.123
787	239.300	229.662	239.177
788	239.350	202.766	239.227
789	239.400	191.585	239.275
