Frequency/(GHz)	Photocurrent/(nA)
730.648	19.623
731.973	18.186
733.371	19.149
734.697	20.203
735.922	19.313
737.372	18.047
738.648	18.657
739.973	18.043
741.472	16.598
742.698	18.877
743.897	18.264
745.372	13.749
746.672	14.005
747.821	14.760
749.046	10.137
750.474	8.466
752.100	9.403
753.648	8.963
754.948	12.763
756.048	15.882
757.499	12.956
758.949	14.314
760.148	17.819
761.396	15.208
762.747	15.631
763.999	17.332
765.323	14.872
766.797	14.932
768.123	18.388
769.373	16.786
770.799	14.737
772.173	17.433
773.298	18.590
774.748	16.404
776.172	16.986
777.223	17.051
778.524	13.545
780.021	14.546
781.396	16.212
782.747	13.991
784.125	13.420
785.400	15.063
786.673	13.399
788.146	12.025
789.471	15.018
790.597	15.285
791.996	13.761
793.373	16.011
794.499	15.026
795.874	12.718
797.350	15.585
798.573	16.559
799.947	13.493
801.373	14.717
802.623	16.323
803.947	14.368
805.322	14.823
806.573	15.680
807.998	12.741
809.499	12.907
810.675	15.092
812.023	12.862
813.396	11.451
814.621	13.007
816.022	12.565
817.446	12.181
818.648	13.697
819.849	13.511
821.249	12.445
822.625	13.244
823.875	13.282
825.147	12.085
826.596	12.859
827.822	13.683
829.071	12.420
830.572	11.336
831.823	12.552
833.076	11.634
834.450	10.917
835.771	13.533
837.148	12.398
838.424	9.171
839.697	11.694
841.097	11.608
842.447	9.534
843.799	11.681
845.050	11.707
846.425	10.480
847.950	11.768
849.099	11.933
850.425	11.111
851.975	12.286
853.148	12.527
854.448	11.295
855.925	10.878
857.176	12.026
858.524	11.011
859.872	9.388
861.048	10.804
862.474	10.242
863.972	8.802
865.296	10.884
866.473	11.205
867.773	9.778
869.174	10.285
870.523	9.978
871.898	9.370
873.247	11.653
874.473	13.441
875.824	11.146
877.223	9.985
878.498	10.907
879.873	10.372
881.247	10.630
882.497	11.846
883.723	10.577
885.096	9.034
886.420	8.977
887.647	8.500
889.072	9.109
890.445	10.836
891.647	10.975
893.023	9.791
894.373	8.952
895.595	9.430
897.044	10.750
898.547	10.526
899.772	10.158
901.148	8.877
902.549	8.649
903.773	10.480
905.122	10.016
906.348	9.170
907.599	10.145
908.876	9.716
910.225	9.008
911.647	9.733
912.924	9.249
914.275	8.762
915.698	8.929
916.947	8.916
918.296	9.232
919.771	9.236
921.098	8.760
922.424	8.259
923.750	8.541
924.974	9.088
926.299	8.579
927.623	8.783
928.872	9.743
930.196	9.380
931.571	8.540
932.924	9.170
934.176	8.278
935.526	7.752
936.999	8.710
938.321	8.024
939.623	7.452
940.999	7.971
942.199	7.736
943.575	7.330
944.976	7.674
946.197	8.573
947.547	7.939
948.947	6.612
950.298	7.456
951.649	7.751
952.946	7.475
954.222	8.291
955.474	7.922
956.848	7.572
958.297	8.557
959.547	8.690
960.872	8.284
962.223	8.338
963.424	7.685
964.825	7.162
966.298	8.053
967.547	8.307
968.798	7.105
970.145	6.534
971.520	7.085
973.024	6.679
974.373	6.947
975.624	7.797
976.850	7.414
978.072	7.125
979.472	7.072
980.749	6.987
981.997	7.095
983.372	6.376
984.696	5.297
986.146	4.383
987.698	4.261
988.998	5.003
990.270	5.356
991.496	5.045
992.823	5.234
994.322	5.460
995.647	6.101
996.897	6.870
998.096	6.043
999.447	5.722
1000.923	6.593
1002.297	7.004
1003.548	7.187
1004.824	6.966
1006.174	6.638
1007.524	6.907
1008.899	6.969
1010.125	6.695
1011.448	6.039
1012.847	5.810
1014.148	6.619
1015.526	6.400
1016.774	6.417
1017.997	6.494
1019.347	5.516
1020.724	6.382
1022.098	7.848
1023.345	7.371
1024.621	6.412
1026.048	5.913
1027.399	5.787
1028.724	6.819
1030.098	7.272
1031.324	6.953
1032.575	6.348
1033.949	5.453
1035.299	5.689
1036.700	5.879
1037.975	6.346
1039.197	6.657
1040.670	5.400
1042.045	4.541
1043.323	5.160
1044.699	5.397
1046.048	5.037
1047.397	5.212
1048.622	4.776
1049.873	4.503
1051.248	5.469
1052.499	5.810
1053.874	4.896
1055.249	4.946
1056.500	5.131
1057.973	4.960
1059.374	5.429
1060.499	5.828
1061.722	5.396
1063.097	5.207
1064.448	5.514
1065.798	5.261
1067.171	5.354
1068.446	6.192
1069.697	6.063
1071.074	5.035
1072.424	4.953
1073.774	5.024
1075.174	4.885
1076.424	5.652
1077.523	5.662
1078.845	4.568
1080.346	4.116
1081.623	3.975
1082.848	4.022
1084.197	4.640
1085.425	4.629
1086.650	3.615
1087.998	2.857
1089.273	2.687
1090.497	2.323
1091.698	1.604
1092.924	1.063
1094.299	0.571
1096.274	0.211
1098.394	0.270
1099.919	0.631
1101.224	1.126
1102.399	1.571
1103.547	1.899
1104.948	2.186
1106.247	2.435
1107.447	2.504
1108.673	2.364
1109.925	2.072
1111.326	1.666
1112.848	1.422
1114.295	1.870
1115.646	2.413
1116.923	2.657
1118.222	3.094
1119.497	3.418
1120.724	3.381
1122.074	3.572
1123.297	3.888
1124.647	4.074
1126.123	3.779
1127.372	3.819
1128.624	4.130
1130.000	3.857
1131.249	3.731
1132.475	4.065
1133.698	3.949
1135.098	3.741
1136.499	4.003
1137.724	4.142
1139.051	3.896
1140.401	3.838
1141.648	3.727
1143.021	3.090
1144.395	3.213
1145.671	3.209
1146.872	2.641
1148.198	2.459
1149.476	2.385
1150.678	1.874
1152.127	1.472
1153.448	1.370
1154.723	1.263
1156.152	1.103
1157.376	0.937
1158.448	0.704
1159.572	0.343
1161.872	0.124
1164.446	0.209
1165.746	0.551
1166.897	0.930
1168.123	1.165
1169.372	1.626
1170.573	2.044
1171.875	2.262
1173.199	2.515
1174.347	2.714
1175.623	2.668
1177.000	2.732
1178.324	3.058
1179.523	3.084
1180.751	3.156
1182.151	3.154
1183.425	2.940
1184.748	2.924
1186.198	3.199
1187.550	3.368
1188.796	3.186
1190.072	3.150
1191.348	3.372
1192.598	3.247
1193.921	3.230
1195.247	3.314
1196.572	3.110
1197.846	3.044
1199.150	3.264
1200.376	3.035
1201.697	2.489
1203.048	2.144
1204.274	1.643
1205.723	1.168
1207.349	1.016
1208.724	1.195
1210.048	1.615
1211.499	1.998
1212.775	2.327
1214.074	2.545
1215.420	2.517
1216.596	2.856
1217.923	2.806
1219.299	2.372
1220.551	2.516
1221.801	2.479
1223.024	2.053
1224.347	1.918
1225.598	1.683
1227.000	1.164
1228.673	1.061
1230.119	1.275
1231.495	1.578
1232.848	2.204
1234.075	2.638
1235.424	2.547
1236.722	2.447
1237.872	2.663
1239.222	2.723
1240.648	2.742
1241.898	3.168
1243.172	3.146
1244.545	3.015
1245.870	3.274
1247.170	3.341
1248.546	3.190
1249.922	3.127
1251.170	3.051
1252.470	2.928
1253.875	2.985
1255.075	3.130
1256.323	2.998
1257.674	2.764
1259.000	2.871
1260.398	2.746
1261.697	2.719
1262.948	3.077
1264.274	2.875
1265.600	2.455
1266.950	2.507
1268.250	2.420
1269.571	2.469
1271.045	2.802
1272.347	2.646
1273.620	2.328
1275.020	2.313
1276.272	2.129
1277.675	2.040
1279.126	2.393
1280.348	2.624
1281.574	2.348
1282.949	2.154
1284.374	2.365
1285.747	2.330
1286.995	2.462
1288.244	2.767
1289.570	2.694
1290.970	2.618
1292.397	2.816
1293.724	2.790
1295.074	2.599
1296.348	2.534
1297.571	2.568
1298.947	2.583
1300.251	2.625
1301.502	2.846
1302.851	2.724
1304.198	2.567
1305.520	2.678
1306.996	2.461
1308.421	2.475
1309.572	2.852
1310.721	2.650
1312.070	2.210
1313.471	2.198
1314.672	2.127
1315.996	2.376
1317.444	2.591
